 k   z[k] dz[k] hz[k] 
   103 ===    1.0000 === 
  104 103.5000 _o_    1.0000
   104 ===    1.0000 === 
  105 104.5000 _o_    1.0000
   105 ===    1.0000 === 
  106 105.5000 _o_    1.0000
   106 ===    1.0000 === 
  107 106.5000 _o_    1.0000
   107 ===    1.0000 === 
  108 107.5000 _o_    1.0000
   108 ===    1.0000 === 
  109 108.5000 _o_    1.0000
   109 ===    0.7500 === 
  110 109.2500 _o_    0.5000
   110 ===    0.3833 === 
  111 109.6333 _o_    0.2667
   111 ===    0.2000 === 
  112 109.8333 _o_    0.1333
   112 ===    0.1000 === 
  113 109.9333 _o_    0.0667
   113 ===    0.0500 === 
  114 109.9833 _o_    0.0333
   114 ===    0.0169 === 
  115 110.0002 _o_    0.0005
   115 ===    0.0008 === 
  116 110.0010 _o_    0.0010
   116 ===    0.0015 === 
  117 110.0025 _o_    0.0020
   117 ===    0.0030 === 
  118 110.0055 _o_    0.0040
   118 ===    0.0060 === 
  119 110.0115 _o_    0.0080
   119 ===    0.0090 === 
  120 110.0205 _o_    0.0100
   120 ===    0.0100 === 
  121 110.0305 _o_    0.0100
   121 ===    0.0100 === 
  122 110.0405 _o_    0.0100
   122 ===    0.0100 === 
  123 110.0505 _o_    0.0100
   123 ===    0.0100 === 
  124 110.0605 _o_    0.0100
   124 ===    0.0100 === 
  125 110.0705 _o_    0.0100
   125 ===    0.0100 === 
  126 110.0805 _o_    0.0100
   126 ===    0.0100 === 
  127 110.0905 _o_    0.0100
   127 ===    0.0000 === 
